log_id,user_email,user_role,action,table_name,record_id,date_heure,adresse_ip
1,jean.dupont@email.fr,analyst,VIEW_CUSTOMER,customers,2,2026-01-21 14:27:33,192.168.1.2/32
2,marie.martin@email.fr,analyst,UPDATE_CUSTOMER,transactions,3,2026-01-21 13:27:33,192.168.1.3/32
3,nicolas.lefebvre@email.fr,client,DELETE_ACCOUNT,cards,4,2026-01-21 12:27:33,192.168.1.4/32
4,admin@digitalbank.fr,admin,VIEW_ACCOUNT,accounts,5,2026-01-21 11:27:33,192.168.1.5/32
5,jean.dupont@email.fr,analyst,VIEW_TRANSACTION,customers,6,2026-01-21 10:27:33,192.168.1.6/32
6,marie.martin@email.fr,analyst,UPDATE_ACCOUNT,transactions,7,2026-01-21 09:27:33,192.168.1.7/32
7,nicolas.lefebvre@email.fr,client,VIEW_CUSTOMER,cards,8,2026-01-21 08:27:33,192.168.1.8/32
8,admin@digitalbank.fr,admin,UPDATE_CUSTOMER,accounts,9,2026-01-21 07:27:33,192.168.1.9/32
9,jean.dupont@email.fr,analyst,DELETE_ACCOUNT,customers,10,2026-01-21 06:27:33,192.168.1.10/32
10,marie.martin@email.fr,analyst,VIEW_ACCOUNT,transactions,11,2026-01-21 05:27:33,192.168.1.11/32
11,nicolas.lefebvre@email.fr,client,VIEW_TRANSACTION,cards,12,2026-01-21 04:27:33,192.168.1.12/32
12,admin@digitalbank.fr,admin,UPDATE_ACCOUNT,accounts,13,2026-01-21 03:27:33,192.168.1.13/32
13,jean.dupont@email.fr,analyst,VIEW_CUSTOMER,customers,14,2026-01-21 02:27:33,192.168.1.14/32
14,marie.martin@email.fr,analyst,UPDATE_CUSTOMER,transactions,15,2026-01-21 01:27:33,192.168.1.15/32
15,nicolas.lefebvre@email.fr,client,DELETE_ACCOUNT,cards,16,2026-01-21 00:27:33,192.168.1.16/32
16,admin@digitalbank.fr,admin,VIEW_ACCOUNT,accounts,17,2026-01-20 23:27:33,192.168.1.17/32
17,jean.dupont@email.fr,analyst,VIEW_TRANSACTION,customers,18,2026-01-20 22:27:33,192.168.1.18/32
18,marie.martin@email.fr,analyst,UPDATE_ACCOUNT,transactions,19,2026-01-20 21:27:33,192.168.1.19/32
19,nicolas.lefebvre@email.fr,client,VIEW_CUSTOMER,cards,20,2026-01-20 20:27:33,192.168.1.20/32
20,admin@digitalbank.fr,admin,UPDATE_CUSTOMER,accounts,1,2026-01-20 19:27:33,192.168.1.21/32
21,jean.dupont@email.fr,analyst,DELETE_ACCOUNT,customers,2,2026-01-20 18:27:33,192.168.1.22/32
22,marie.martin@email.fr,analyst,VIEW_ACCOUNT,transactions,3,2026-01-20 17:27:33,192.168.1.23/32
23,nicolas.lefebvre@email.fr,client,VIEW_TRANSACTION,cards,4,2026-01-20 16:27:33,192.168.1.24/32
24,admin@digitalbank.fr,admin,UPDATE_ACCOUNT,accounts,5,2026-01-20 15:27:33,192.168.1.25/32
25,jean.dupont@email.fr,analyst,VIEW_CUSTOMER,customers,6,2026-01-20 14:27:33,192.168.1.26/32
26,marie.martin@email.fr,analyst,UPDATE_CUSTOMER,transactions,7,2026-01-20 13:27:33,192.168.1.27/32
27,nicolas.lefebvre@email.fr,client,DELETE_ACCOUNT,cards,8,2026-01-20 12:27:33,192.168.1.28/32
28,admin@digitalbank.fr,admin,VIEW_ACCOUNT,accounts,9,2026-01-20 11:27:33,192.168.1.29/32
29,jean.dupont@email.fr,analyst,VIEW_TRANSACTION,customers,10,2026-01-20 10:27:33,192.168.1.30/32
30,marie.martin@email.fr,analyst,UPDATE_ACCOUNT,transactions,11,2026-01-20 09:27:33,192.168.1.31/32
31,nicolas.lefebvre@email.fr,client,VIEW_CUSTOMER,cards,12,2026-01-20 08:27:33,192.168.1.32/32
32,admin@digitalbank.fr,admin,UPDATE_CUSTOMER,accounts,13,2026-01-20 07:27:33,192.168.1.33/32
33,jean.dupont@email.fr,analyst,DELETE_ACCOUNT,customers,14,2026-01-20 06:27:33,192.168.1.34/32
34,marie.martin@email.fr,analyst,VIEW_ACCOUNT,transactions,15,2026-01-20 05:27:33,192.168.1.35/32
35,nicolas.lefebvre@email.fr,client,VIEW_TRANSACTION,cards,16,2026-01-20 04:27:33,192.168.1.36/32
36,admin@digitalbank.fr,admin,UPDATE_ACCOUNT,accounts,17,2026-01-20 03:27:33,192.168.1.37/32
37,jean.dupont@email.fr,analyst,VIEW_CUSTOMER,customers,18,2026-01-20 02:27:33,192.168.1.38/32
38,marie.martin@email.fr,analyst,UPDATE_CUSTOMER,transactions,19,2026-01-20 01:27:33,192.168.1.39/32
39,nicolas.lefebvre@email.fr,client,DELETE_ACCOUNT,cards,20,2026-01-20 00:27:33,192.168.1.40/32
40,admin@digitalbank.fr,admin,VIEW_ACCOUNT,accounts,1,2026-01-19 23:27:33,192.168.1.41/32
41,jean.dupont@email.fr,analyst,VIEW_TRANSACTION,customers,2,2026-01-19 22:27:33,192.168.1.42/32
42,marie.martin@email.fr,analyst,UPDATE_ACCOUNT,transactions,3,2026-01-19 21:27:33,192.168.1.43/32
